chromosome	contact	nucleus
1	95.43	constituent
1	98.81	constituent
1	96.75	constituent
1	98.49	constituent
1	94.80	constituent
1	97.97	constituent
1	90.77	constituent
1	95.80	constituent
1	94.47	constituent
1	97.53	constituent
1	95.96	constituent
1	98.70	constituent
1	96.10	constituent
1	98.50	constituent
1	91.81	constituent
1	98.03	constituent
1	82.95	constituent
1	90.22	constituent
1	86.75	constituent
1	94.24	constituent
1	95.94651222	constituent
1	98.93242862	constituent
1	96.21355106	constituent
1	98.37112181	constituent
1	90.76563211	constituent
1	95.79955098	constituent
1	95.14788163	constituent
1	97.83608758	constituent
1	95.8218794	constituent
1	98.65368936	constituent
1	94.56628092	constituent
1	97.84064648	constituent
1	92.77650336	constituent
1	98.29284727	constituent
1	84.69772414	constituent
1	91.02813896	constituent
1	93.70774688	constituent
1	97.11890028	constituent
1	97.23199893	constituent
1	98.79852178	constituent
1	2.768001068	other
1	1.201478218	other
1	4.053487781	other
1	1.06757138	other
1	3.786448939	other
1	1.628878191	other
1	9.234367888	other
1	4.200449022	other
1	4.852118371	other
1	2.163912424	other
1	4.178120598	other
1	1.346310637	other
1	5.433719082	other
1	2.159353521	other
1	7.223496641	other
1	1.707152732	other
1	15.30227586	other
1	8.971861043	other
1	6.292253115	other
1	2.881099721	other
1	4.57	other
1	1.19	other
1	3.25	other
1	1.51	other
1	5.20	other
1	2.03	other
1	9.23	other
1	4.20	other
1	5.53	other
1	2.47	other
1	4.04	other
1	1.30	other
1	3.90	other
1	1.50	other
1	8.19	other
1	1.97	other
1	17.05	other
1	9.78	other
1	13.25	other
1	5.76	other
2	93.95	constituent
2	98.36	constituent
2	95.80	constituent
2	98.29	constituent
2	93.09	constituent
2	97.50	constituent
2	92.11	constituent
2	96.34	constituent
2	93.36	constituent
2	97.13	constituent
2	93.40	constituent
2	97.87	constituent
2	94.88	constituent
2	98.14	constituent
2	91.23	constituent
2	98.01	constituent
2	85.90	constituent
2	91.91	constituent
2	88.11	constituent
2	94.87	constituent
2	6.05	other
2	1.64	other
2	4.20	other
2	1.71	other
2	6.91	other
2	2.50	other
2	7.89	other
2	3.66	other
2	6.64	other
2	5.913718925	other
2	1.609440066	other
2	3.672481707	other
2	1.543661596	other
2	4.968070371	other
2	1.981630494	other
2	7.889209342	other
2	3.661373257	other
2	6.071174076	other
2	2.618976384	other
2	7.213594244	other
2	2.223878818	other
2	3.749607427	other
2	1.397324728	other
2	11.0578287	other
2	2.743789474	other
2	16.72874859	other
2	9.502095761	other
2	11.52024911	other
2	4.881342256	other
2	94.08628107	constituent
2	98.39055993	constituent
2	96.32751829	constituent
2	98.4563384	constituent
2	95.03192963	constituent
2	98.01836951	constituent
2	92.11079066	constituent
2	96.33862674	constituent
2	93.92882592	constituent
2	97.38102362	constituent
2	92.78640576	constituent
2	97.77612118	constituent
2	96.25039257	constituent
2	98.60267527	constituent
2	88.9421713	constituent
2	97.25621053	constituent
2	83.27125141	constituent
2	90.49790424	constituent
2	88.47975089	constituent
2	95.11865774	constituent
3	93.97	constituent
3	98.36	constituent
3	96.60	constituent
3	98.53	constituent
3	92.98	constituent
3	97.36	constituent
3	94.68	constituent
3	97.49	constituent
3	93.14	constituent
3	96.91	constituent
3	94.41	constituent
3	98.16	constituent
3	95.69	constituent
3	98.34	constituent
3	91.49	constituent
3	97.89	constituent
3	81.86	constituent
3	89.47	constituent
3	92.96	constituent
3	96.94	constituent
3	6.03	other
3	1.64	other
3	3.40	other
3	1.47	other
3	7.02	other
3	2.64	other
3	5.32	other
3	2.51	other
3	6.86	other
3	3.09	other
3	5.59	other
3	1.84	other
3	4.31	other
3	1.66	other
3	8.51	other
3	2.11	other
3	18.14	other
3	10.53	other
3	7.04	other
3	3.06	other
3	5.323484229	other
3	1.486620201	other
3	4.415259016	other
3	1.925233045	other
3	7.546075002	other
3	2.85606782	other
3	5.3151895	other
3	2.506776795	other
3	8.752143257	other
3	3.955813017	other
3	4.924979283	other
3	1.591784218	other
3	3.612286828	other
3	1.418100798	other
3	6.328246084	other
3	1.463671789	other
3	15.69674583	other
3	9.258221973	other
3	5.982354595	other
3	2.600880114	other
3	94.67651577	constituent
3	98.5133798	constituent
3	95.58474098	constituent
3	98.07476695	constituent
3	92.453925	constituent
3	97.14393218	constituent
3	94.6848105	constituent
3	97.4932232	constituent
3	91.24785674	constituent
3	96.04418698	constituent
3	95.07502072	constituent
3	98.40821578	constituent
3	96.38771317	constituent
3	98.5818992	constituent
3	93.67175392	constituent
3	98.53632821	constituent
3	84.30325417	constituent
3	90.74177803	constituent
3	94.0176454	constituent
3	97.39911989	constituent
4	95.41	constituent
4	98.73	constituent
4	96.50	constituent
4	98.48	constituent
4	94.41	constituent
4	97.89	constituent
4	93.97	constituent
4	97.13	constituent
4	94.51	constituent
4	97.60	constituent
4	95.89	constituent
4	98.75	constituent
4	94.80	constituent
4	98.05	constituent
4	91.08	constituent
4	97.92	constituent
4	84.36	constituent
4	91.09	constituent
4	90.05	constituent
4	95.68	constituent
4	4.59	other
4	1.27	other
4	3.50	other
4	1.52	other
4	5.59	other
4	2.11	other
4	6.03	other
4	2.87	other
4	4.879654211	other
4	1.39258926	other
4	3.828513226	other
4	1.581567117	other
4	4.344401618	other
4	1.628585275	other
4	6.029203008	other
4	2.871605259	other
4	6.294397433	other
4	2.724520392	other
4	4.405464963	other
4	1.477155383	other
4	4.070436492	other
4	1.506473268	other
4	6.833043107	other
4	1.593084963	other
4	17.03237609	other
4	9.780508372	other
4	11.98896803	other
4	5.216673155	other
4	95.12034579	constituent
4	98.60741074	constituent
4	96.17148677	constituent
4	98.41843288	constituent
4	95.65559838	constituent
4	98.37141473	constituent
4	93.97079699	constituent
4	97.12839474	constituent
4	93.70560257	constituent
4	97.27547961	constituent
4	95.59453504	constituent
4	98.52284462	constituent
4	95.92956351	constituent
4	98.49352673	constituent
4	93.16695689	constituent
4	98.40691504	constituent
4	82.96762391	constituent
4	90.21949163	constituent
4	88.01103197	constituent
4	94.78332684	constituent
5	95.17	constituent
5	98.66	constituent
5	95.79	constituent
5	98.21	constituent
5	92.16	constituent
5	96.99	constituent
5	95.16	constituent
5	97.87	constituent
5	93.99	constituent
5	97.39	constituent
5	93.94	constituent
5	98.10	constituent
5	90.63	constituent
5	96.18	constituent
5	93.84	constituent
5	98.56	constituent
5	84.84	constituent
5	91.51	constituent
5	90.04	constituent
5	95.68	constituent
5	4.83	other
5	1.34	other
5	4.21	other
5	1.79	other
5	7.84	other
5	3.01	other
5	4.84	other
5	2.13	other
5	6.01	other
5	2.61	other
5	6.06	other
5	1.90	other
5	9.37	other
5	3.82	other
5	6.16	other
5	1.44	other
5	15.16	other
5	4.692010265	other
5	1.262053559	other
5	4.328880601	other
5	1.801378249	other
5	5.84004426	other
5	2.294031137	other
5	4.836243426	other
5	2.128344443	other
5	5.356106174	other
5	2.300784663	other
5	5.715764608	other
5	1.807271529	other
5	10.89759066	other
5	4.462966595	other
5	6.138731695	other
5	1.395619282	other
5	15.80064959	other
5	8.930389242	other
5	11.18915239	other
5	4.861278861	other
5	95.30798974	constituent
5	98.73794644	constituent
5	95.6711194	constituent
5	98.19862175	constituent
5	94.15995574	constituent
5	97.70596886	constituent
5	95.16375657	constituent
5	97.87165556	constituent
5	94.64389383	constituent
5	97.69921534	constituent
5	94.28423539	constituent
5	98.19272847	constituent
5	89.10240934	constituent
5	95.53703341	constituent
5	93.8612683	constituent
5	98.60438072	constituent
5	84.19935041	constituent
5	91.06961076	constituent
5	88.81084761	constituent
5	95.13872114	constituent
6	95.41	constituent
6	98.72	constituent
6	96.58	constituent
6	98.57	constituent
6	94.96	constituent
6	98.07	constituent
6	94.25	constituent
6	97.28	constituent
6	94.36	constituent
6	97.59	constituent
6	93.86	constituent
6	98.04	constituent
6	96.00	constituent
6	98.42	constituent
6	94.15	constituent
6	98.62	constituent
6	83.47	constituent
6	90.07	constituent
6	92.53	constituent
6	96.75	constituent
6	4.59	other
6	1.28	other
6	3.42	other
6	1.43	other
6	5.04	other
6	1.93	other
6	5.75	other
6	2.72	other
6	5.64	other
6	2.41	other
6	6.14	other
6	1.96	other
6	4.00	other
6	1.58	other
6	5.85	other
6	1.38	other
6	16.53	other
6	9.93	other
6	7.47	other
6	3.25	other
6	4.482807589	other
6	1.239055459	other
6	4.277140524	other
6	1.795572609	other
6	6.690943843	other
6	2.704476155	other
6	5.751281961	other
6	2.720003837	other
6	5.286221409	other
6	2.309895205	other
6	6.008643587	other
6	1.988498384	other
6	3.386858257	other
6	1.304143715	other
6	6.411807945	other
6	1.55238623	other
6	16.11495015	other
6	9.532638922	other
6	7.290176343	other
6	3.012416756	other
6	95.51719241	constituent
6	98.76094454	constituent
6	95.72285948	constituent
6	98.20442739	constituent
6	93.30905616	constituent
6	97.29552385	constituent
6	94.24871804	constituent
6	97.27999616	constituent
6	94.71377859	constituent
6	97.6901048	constituent
6	93.99135641	constituent
6	98.01150162	constituent
6	96.61314174	constituent
6	98.69585629	constituent
6	93.58819205	constituent
6	98.44761377	constituent
6	83.88504985	constituent
6	90.46736108	constituent
6	92.70982366	constituent
6	96.98758324	constituent
7	94.61	constituent
7	98.48	constituent
7	96.12	constituent
7	98.31	constituent
7	94.60	constituent
7	97.88	constituent
7	95.45	constituent
7	97.88	constituent
7	92.24	constituent
7	96.49	constituent
7	93.88	constituent
7	98.04	constituent
7	96.54	constituent
7	98.64	constituent
7	93.40	constituent
7	98.46	constituent
7	84.49	constituent
7	90.99	constituent
7	91.97	constituent
7	96.48	constituent
7	5.39	other
7	1.52	other
7	3.88	other
7	1.69	other
7	5.40	other
7	2.12	other
7	4.55	other
7	2.12	other
7	7.76	other
7	3.51	other
7	6.12	other
7	1.96	other
7	3.46	other
7	1.36	other
7	6.60	other
7	1.54	other
7	15.51	other
7	9.01	other
7	8.03	other
7	3.52	other
7	5.951859489	other
7	1.733415481	other
7	3.749375656	other
7	1.585447403	other
7	4.553991517	other
7	1.790520747	other
7	4.54685482	other
7	2.123994839	other
7	6.518727963	other
7	2.908482475	other
7	5.622406763	other
7	1.851622042	other
7	3.201733538	other
7	1.200817027	other
7	6.857895629	other
7	1.619491369	other
7	15.84106557	other
7	8.948009842	other
7	7.163851692	other
7	3.081210928	other
7	94.04814051	constituent
7	98.26658452	constituent
7	96.25062434	constituent
7	98.4145526	constituent
7	95.44600848	constituent
7	98.20947925	constituent
7	95.45314518	constituent
7	97.87600516	constituent
7	93.48127204	constituent
7	97.09151753	constituent
7	94.37759324	constituent
7	98.14837796	constituent
7	96.79826646	constituent
7	98.79918297	constituent
7	93.14210437	constituent
7	98.38050863	constituent
7	84.15893443	constituent
7	91.05199016	constituent
7	92.83614831	constituent
7	96.91878907	constituent
8	95.34	constituent
8	98.53	constituent
8	96.51	constituent
8	98.47	constituent
8	93.77	constituent
8	97.44	constituent
8	95.81	constituent
8	97.97	constituent
8	94.42	constituent
8	97.53	constituent
8	96.17	constituent
8	98.72	constituent
8	96.07	constituent
8	98.51	constituent
8	94.21	constituent
8	98.58	constituent
8	82.37	constituent
8	90.01	constituent
8	92.55	constituent
8	96.51	constituent
8	4.66	other
8	1.47	other
8	3.49	other
8	1.53	other
8	6.23	other
8	2.56	other
8	4.19	other
8	2.03	other
8	5.58	other
8	2.47	other
8	3.83	other
8	1.28	other
8	3.93	other
8	1.49	other
8	5.79	other
8	7.842568415	other
8	2.300222521	other
8	3.913934355	other
8	1.649381129	other
8	6.504806295	other
8	2.471239518	other
8	4.193853259	other
8	2.03265982	other
8	5.924602908	other
8	2.591602488	other
8	3.954367201	other
8	1.296400187	other
8	2.610062575	other
8	1.077020909	other
8	8.2039292	other
8	2.058450406	other
8	16.09097601	other
8	9.631751776	other
8	11.33425381	other
8	5.053054804	other
8	92.15743159	constituent
8	97.69977748	constituent
8	96.08606565	constituent
8	98.35061887	constituent
8	93.49519371	constituent
8	97.52876048	constituent
8	95.80614674	constituent
8	97.96734018	constituent
8	94.07539709	constituent
8	97.40839751	constituent
8	96.0456328	constituent
8	98.70359981	constituent
8	97.38993742	constituent
8	98.92297909	constituent
8	91.7960708	constituent
8	97.94154959	constituent
8	83.90902399	constituent
8	90.36824822	constituent
8	88.66574619	constituent
8	94.9469452	constituent
9	94.70	constituent
9	98.54	constituent
9	96.64	constituent
9	98.58	constituent
9	94.01	constituent
9	97.71	constituent
9	95.28	constituent
9	97.95	constituent
9	92.10	constituent
9	96.54	constituent
9	95.31	constituent
9	98.50	constituent
9	95.97	constituent
9	98.47	constituent
9	92.98	constituent
9	98.40	constituent
9	83.61	constituent
9	90.88	constituent
9	93.98	constituent
9	97.52	constituent
9	5.30	other
9	1.46	other
9	3.36	other
9	1.42	other
9	5.99	other
9	2.29	other
9	4.72	other
9	2.05	other
9	7.90	other
9	3.46	other
9	4.69	other
9	1.50	other
9	4.03	other
9	1.53	other
9	7.02	other
9	1.60	other
9	16.39	other
9	9.12	other
9	6.02	other
9	2.48	other
9	4.327088568	other
9	1.186534901	other
9	3.335951666	other
9	1.423560472	other
9	6.895647684	other
9	2.840258594	other
9	4.724755372	other
9	2.048168799	other
9	7.375675971	other
9	3.278539387	other
9	4.727450805	other
9	1.490552023	other
9	5.578142595	other
9	2.121582183	other
9	4.993361401	other
9	1.180946652	other
9	14.73448581	other
9	8.261365642	other
9	5.19569338	other
9	2.06504841	other
9	95.67291143	constituent
9	98.8134651	constituent
9	96.66404833	constituent
9	98.57643953	constituent
9	93.10435232	constituent
9	97.15974141	constituent
9	95.27524463	constituent
9	97.9518312	constituent
9	92.62432403	constituent
9	96.72146061	constituent
9	95.2725492	constituent
9	98.50944798	constituent
9	94.42185741	constituent
9	97.87841782	constituent
9	95.0066386	constituent
9	98.81905335	constituent
9	85.26551419	constituent
9	91.73863436	constituent
9	94.80430662	constituent
9	97.93495159	constituent
10	94.44	constituent
10	98.43	constituent
10	96.41	constituent
10	98.45	constituent
10	91.37	constituent
10	96.46	constituent
10	94.05	constituent
10	97.26	constituent
10	94.70	constituent
10	97.75	constituent
10	94.67	constituent
10	98.32	constituent
10	94.97	constituent
10	98.16	constituent
10	94.24	constituent
10	98.60	constituent
10	83.25	constituent
10	90.45	constituent
10	87.44	constituent
10	94.44	constituent
10	5.56	other
10	1.57	other
10	3.59	other
10	1.55	other
10	8.63	other
10	3.54	other
10	5.95	other
10	2.74	other
10	5.30	other
10	2.25	other
10	5.33	other
10	1.68	other
10	5.03	other
10	1.84	other
10	5.76	other
10	1.40	other
10	16.75	other
10	9.55	other
10	12.56	other
10	5.56	other
10	5.817671539	other
10	1.671326809	other
10	4.293427362	other
10	1.845575804	other
10	5.811209817	other
10	2.192223126	other
10	5.945136548	other
10	2.73525156	other
