Chromosome	Length	Name	Haplotype	Shape
1	9769916	15CA06C_hapA	HapA	alpha
2	10051245	15CA06C_hapA	HapA	alpha
3	12011884	15CA06C_hapA	HapA	alpha
4	10587828	15CA06C_hapA	HapA	alpha
5	9975473	15CA06C_hapA	HapA	alpha
6	9432892	15CA06C_hapA	HapA	alpha
7	9218243	15CA06C_hapA	HapA	alpha
8	4984583	15CA06C_hapA	HapA	alpha
9	10569794	15CA06C_hapA	HapA	alpha
10	9626676	15CA06C_hapA	HapA	alpha
11	7886202	15CA06C_hapA	HapA	alpha
12	5504609	15CA06C_hapA	HapA	alpha
13	7093982	15CA06C_hapA	HapA	alpha
14	5203163	15CA06C_hapA	HapA	alpha
15	4446777	15CA06C_hapA	HapA	alpha
16	5332894	15CA06C_hapA	HapA	alpha
17	4695997	15CA06C_hapA	HapA	alpha
18	4927434	15CA06C_hapA	HapA	alpha
1	10307810	15CA06C_hapB	HapB	alpha
2	11579210	15CA06C_hapB	HapB	alpha
3	9370638	15CA06C_hapB	HapB	alpha
4	10322043	15CA06C_hapB	HapB	alpha
5	10734584	15CA06C_hapB	HapB	alpha
6	9375928	15CA06C_hapB	HapB	alpha
7	9438533	15CA06C_hapB	HapB	alpha
8	8359490	15CA06C_hapB	HapB	alpha
9	11704742	15CA06C_hapB	HapB	alpha
10	9704727	15CA06C_hapB	HapB	alpha
11	7788343	15CA06C_hapB	HapB	alpha
12	5742448	15CA06C_hapB	HapB	alpha
13	7494142	15CA06C_hapB	HapB	alpha
14	5202540	15CA06C_hapB	HapB	alpha
15	4590180	15CA06C_hapB	HapB	alpha
16	5500685	15CA06C_hapB	HapB	alpha
17	4708967	15CA06C_hapB	HapB	alpha
18	5012369	15CA06C_hapB	HapB	alpha
1	10032206	17MN32B_hapC	HapC	alpha
2	10686708	17MN32B_hapC	HapC	alpha
3	9211109	17MN32B_hapC	HapC	alpha
4	10913925	17MN32B_hapC	HapC	alpha
5	10887963	17MN32B_hapC	HapC	alpha
6	9679412	17MN32B_hapC	HapC	alpha
7	9219722	17MN32B_hapC	HapC	alpha
8	8709876	17MN32B_hapC	HapC	alpha
9	10695062	17MN32B_hapC	HapC	alpha
10	9366480	17MN32B_hapC	HapC	alpha
11	8167793	17MN32B_hapC	HapC	alpha
12	5672819	17MN32B_hapC	HapC	alpha
13	7702642	17MN32B_hapC	HapC	alpha
14	5268895	17MN32B_hapC	HapC	alpha
15	4604732	17MN32B_hapC	HapC	alpha
16	5398136	17MN32B_hapC	HapC	alpha
17	4920012	17MN32B_hapC	HapC	alpha
18	5098316	17MN32B_hapC	HapC	alpha
1	6189524	17MN32B_hapB	HapB	beta
2	11621518	17MN32B_hapB	HapB	beta
3	9519944	17MN32B_hapB	HapB	beta
4	10316815	17MN32B_hapB	HapB	beta
5	10777349	17MN32B_hapB	HapB	beta
6	9387364	17MN32B_hapB	HapB	beta
7	9463682	17MN32B_hapB	HapB	beta
8	8507661	17MN32B_hapB	HapB	beta
9	11496257	17MN32B_hapB	HapB	beta
10	9665077	17MN32B_hapB	HapB	beta
11	7836625	17MN32B_hapB	HapB	beta
12	5749700	17MN32B_hapB	HapB	beta
13	11653274	17MN32B_hapB	HapB	beta
14	5282302	17MN32B_hapB	HapB	beta
15	4597442	17MN32B_hapB	HapB	beta
16	5477952	17MN32B_hapB	HapB	beta
17	4792941	17MN32B_hapB	HapB	beta
18	5017657	17MN32B_hapB	HapB	beta
1	10807436	ISR90-3_hapF	HapF	alpha
2	14172503	ISR90-3_hapF	HapF	alpha
3	11580145	ISR90-3_hapF	HapF	alpha
4	10180547	ISR90-3_hapF	HapF	alpha
5	11541793	ISR90-3_hapF	HapF	alpha
6	9776164	ISR90-3_hapF	HapF	alpha
7	10501744	ISR90-3_hapF	HapF	alpha
8	8713028	ISR90-3_hapF	HapF	alpha
9	11319677	ISR90-3_hapF	HapF	alpha
10	10227508	ISR90-3_hapF	HapF	alpha
11	8130299	ISR90-3_hapF	HapF	alpha
12	6355356	ISR90-3_hapF	HapF	alpha
13	7963727	ISR90-3_hapF	HapF	alpha
14	6067381	ISR90-3_hapF	HapF	alpha
15	4997872	ISR90-3_hapF	HapF	alpha
16	6026834	ISR90-3_hapF	HapF	alpha
17	5193698	ISR90-3_hapF	HapF	alpha
18	5021481	ISR90-3_hapF	HapF	alpha
1	10430742	ISR90-3_hapG	HapG	alpha
2	13394104	ISR90-3_hapG	HapG	alpha
3	11148276	ISR90-3_hapG	HapG	alpha
4	10959559	ISR90-3_hapG	HapG	alpha
5	11674571	ISR90-3_hapG	HapG	alpha
6	9141073	ISR90-3_hapG	HapG	alpha
7	10911862	ISR90-3_hapG	HapG	alpha
8	9055895	ISR90-3_hapG	HapG	alpha
9	12490861	ISR90-3_hapG	HapG	alpha
10	11010073	ISR90-3_hapG	HapG	alpha
11	8537051	ISR90-3_hapG	HapG	alpha
12	6495481	ISR90-3_hapG	HapG	alpha
13	8431326	ISR90-3_hapG	HapG	alpha
14	5977325	ISR90-3_hapG	HapG	alpha
15	4857265	ISR90-3_hapG	HapG	alpha
16	5982512	ISR90-3_hapG	HapG	alpha
17	5509207	ISR90-3_hapG	HapG	alpha
18	5357351	ISR90-3_hapG	HapG	alpha
1	12873232	WA92-74_hapD	HapD	alpha
2	9982704	WA92-74_hapD	HapD	alpha
3	9106333	WA92-74_hapD	HapD	alpha
