chr	start	end	name	colour
chr10F	42582	46994	FUN_023772	'#ff0000'
chr10F	48455	57616	FUN_023773	'#ff0000'
chr10F	58981	59717	FUN_023774	'#ff0000'
chr10F	67760	68282	FUN_023775	'#ff0000'
chr10F	73430	75964	FUN_023776	'#ff0000'
chr10F	83422	88543	FUN_023777	'#ff0000'
chr10F	88791	89526	FUN_023778	'#ff0000'
chr10F	90062	92810	FUN_023779	'#ff0000'
chr10F	100446	110471	FUN_023780	'#ff0000'
chr10F	119134	123021	FUN_023781	'#ff0000'
chr10F	136702	139095	FUN_023782	'#ff0000'
chr10F	141779	142837	FUN_023783	'#ff0000'
chr10F	157577	158417	FUN_023784	'#ff0000'
chr10F	159333	161281	FUN_023785	'#ff0000'
chr10F	163352	163942	FUN_023786	'#ff0000'
chr10F	172867	174226	FUN_023787	'#ff0000'
chr10F	174632	175046	FUN_023788	'#ff0000'
chr10F	195981	199057	FUN_023789	'#ff0000'
chr10F	214830	217705	FUN_023790	'#ff0000'
chr10F	218225	218579	FUN_023791	'#ff0000'
chr10F	218766	223242	STRG.24^chr10F^+	'#ff0000'
chr10F	229131	229564	FUN_023793	'#ff0000'
chr10F	233356	237732	FUN_023794	'#ff0000'
chr10F	250921	256054	FUN_023795	'#ff0000'
chr10F	256292	256580	FUN_023796	'#ff0000'
chr10F	266748	268154	FUN_023797	'#ff0000'
chr10F	268755	269308	FUN_023798	'#ff0000'
chr10F	278568	284765	FUN_023799	'#ff0000'
chr10F	285443	290689	FUN_023800	'#ff0000'
chr10F	291075	291651	FUN_023801	'#ff0000'
chr10F	295961	297326	FUN_023802	'#ff0000'
chr10F	300755	302120	FUN_023803	'#ff0000'
chr10F	305201	308048	STRG.33^chr10F^+	'#ff0000'
chr10F	310636	312714	FUN_023805	'#ff0000'
chr10F	313877	320493	FUN_023806	'#ff0000'
chr10F	321013	321454	FUN_023807	'#ff0000'
chr10F	330963	339765	FUN_023808	'#ff0000'
chr10F	340476	341777	FUN_023809	'#ff0000'
chr10F	355352	357650	FUN_023810	'#ff0000'
chr10F	355762	356668	STRG.41^chr10F^+	'#ff0000'
chr10F	374652	376212	FUN_023811	'#ff0000'
chr10F	393951	394832	FUN_023812	'#ff0000'
chr10F	395971	397443	FUN_023813	'#ff0000'
chr10F	410770	412494	FUN_023814	'#ff0000'
chr10F	425562	426463	FUN_023815	'#ff0000'
chr10F	428709	429673	FUN_023816	'#ff0000'
chr10F	435530	437479	FUN_023817	'#ff0000'
chr10F	450411	450955	FUN_023818	'#ff0000'
chr10F	453418	454194	FUN_023819	'#ff0000'
chr10F	459893	461047	FUN_023820	'#ff0000'
chr10F	461476	464119	FUN_023821	'#ff0000'
chr10F	464322	465792	FUN_023822	'#ff0000'
