chr	start	end
chr10F	0	10227508
chr10G	0	11010073
chr11F	0	8130299
chr11G	0	8537051
chr12F	0	6355356
chr12G	0	6495481
chr13F	0	7963727
chr13G	0	8431326
chr14F	0	6067381
chr14G	0	5977325
chr15F	0	4997872
chr15G	0	4857265
chr16F	0	6026834
chr16G	0	5982512
chr17F	0	5193698
chr17G	0	5509207
chr18F	0	5021481
chr18G	0	5357351
chr19F	0	6220994
chr1F	0	10807436
chr1G	0	10430742
chr2F	0	14172503
chr2G	0	13394104
chr3F	0	11580145
chr3G	0	11148276
chr4F	0	10180547
chr4G	0	10959559
chr5F	0	11541793
chr5G	0	11674571
chr6F	0	9776164
chr6G	0	9141073
chr7F	0	10501744
chr7G	0	10911862
chr8F	0	8713028
chr8G	0	9055895
chr9F	0	11319677
chr9G	0	12490861
